epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.263,1.97862,3.96568,1.3072,0.42844,0.24078,0.23414,0.11045,1.89026,1.4602,1.2545,0.00015,0.00015,0.00015
2,903.624,1.8205,1.30774,1.24909,0.40981,0.41856,0.39365,0.20669,1.73519,1.64472,1.23291,0.000281563,0.000281563,0.000281563
3,1273.78,1.75844,1.13961,1.2324,0.66826,0.42014,0.48429,0.2577,1.76188,1.24064,1.23549,0.00038095,0.00038095,0.00038095
4,1586.79,1.73474,1.1154,1.20783,0.38011,0.48472,0.52102,0.2788,1.70344,1.13633,1.22906,0.000448163,0.000448163,0.000448163
5,1905.12,1.68091,1.08263,1.18293,0.36652,0.51023,0.50907,0.27988,1.67563,1.09868,1.19992,0.0004832,0.0004832,0.0004832
6,2227.71,1.67696,1.05221,1.1828,0.47674,0.56578,0.60355,0.32122,1.65687,0.97124,1.17667,0.000486063,0.000486063,0.000486063
7,2548.99,1.67394,1.03021,1.17576,0.51637,0.76805,0.67042,0.3619,1.6483,0.94135,1.16946,0.00045675,0.00045675,0.00045675
8,2886.01,1.6402,0.98342,1.17261,0.61067,0.7237,0.72347,0.38529,1.66766,0.90843,1.16683,0.00038375,0.00038375,0.00038375
9,3203.9,1.64951,0.96207,1.14437,0.61016,0.72371,0.76335,0.41333,1.64112,0.87246,1.15084,0.00026,0.00026,0.00026
10,3531.12,1.61831,0.92934,1.1285,0.6953,0.75491,0.77469,0.41269,1.63662,0.8626,1.14797,0.00013625,0.00013625,0.00013625
