epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4050.68,1.33999,1.28169,1.01677,0.76055,0.48031,0.53896,0.29714,1.27521,0.90036,1.04332,0.000410354,0.000410354,0.000410354
2,7417.22,1.26246,0.78398,0.99311,0.5154,0.51947,0.50007,0.29236,1.24037,0.86983,1.0604,0.000799729,0.000799729,0.000799729
3,11110.8,1.2278,0.73004,0.9789,0.69456,0.64325,0.64651,0.38157,1.19881,0.7097,1.04088,0.0011616,0.0011616,0.0011616
4,14488.5,1.22647,0.70256,0.97387,0.70424,0.54914,0.60983,0.36268,1.17052,0.69472,1.02953,0.00112625,0.00112625,0.00112625
5,17710.1,1.21697,0.69842,0.97821,0.77015,0.65816,0.70581,0.43209,1.19973,0.67367,1.02402,0.001085,0.001085,0.001085
6,20730.8,1.21466,0.69183,0.98172,0.67685,0.68298,0.70817,0.42552,1.16323,0.66983,1.01715,0.00104375,0.00104375,0.00104375
7,23876.2,1.15674,0.66417,0.95719,0.73161,0.70409,0.74472,0.44409,1.14233,0.62822,1.0175,0.0010025,0.0010025,0.0010025
8,27039.9,1.16279,0.64537,0.9544,0.68935,0.64041,0.71294,0.44223,1.14268,0.62016,1.01302,0.00096125,0.00096125,0.00096125
9,30083.8,1.15324,0.63963,0.95553,0.80655,0.65085,0.7402,0.45181,1.16769,0.6153,1.02067,0.00092,0.00092,0.00092
10,33033.7,1.14187,0.62549,0.95833,0.73322,0.66857,0.74852,0.44197,1.13979,0.59842,1.00648,0.00087875,0.00087875,0.00087875
11,36089.5,1.10841,0.59621,0.94475,0.74741,0.75444,0.74411,0.46243,1.10441,0.58197,1.00059,0.0008375,0.0008375,0.0008375
12,39276.5,1.1149,0.59973,0.94352,0.63568,0.75515,0.72961,0.46047,1.15828,0.59425,1.01141,0.00079625,0.00079625,0.00079625
13,41915.6,1.10734,0.58194,0.94295,0.75347,0.76607,0.76388,0.45426,1.17909,0.58902,1.00747,0.000755,0.000755,0.000755
14,44563.4,1.07694,0.57261,0.94487,0.72728,0.78811,0.77653,0.48043,1.08588,0.55454,0.99089,0.00071375,0.00071375,0.00071375
15,47241,1.0699,0.56841,0.93637,0.79162,0.71083,0.7817,0.49341,1.07498,0.54594,0.98943,0.0006725,0.0006725,0.0006725
16,50031.5,1.07259,0.56218,0.94325,0.774,0.77635,0.79383,0.49748,1.09862,0.54954,0.99094,0.00063125,0.00063125,0.00063125
17,52701.2,1.05622,0.55134,0.92656,0.73335,0.7883,0.7834,0.49237,1.08318,0.53209,0.98818,0.00059,0.00059,0.00059
18,55388.6,1.05652,0.5465,0.92994,0.86526,0.72899,0.82124,0.50792,1.07979,0.53468,0.98206,0.00054875,0.00054875,0.00054875
19,57946.5,1.04658,0.53666,0.93243,0.79248,0.79127,0.80942,0.51184,1.06331,0.52521,0.97798,0.0005075,0.0005075,0.0005075
20,60554.1,1.04653,0.53623,0.93159,0.76398,0.79501,0.81027,0.51477,1.06771,0.52834,0.97574,0.00046625,0.00046625,0.00046625
21,62156.7,0.99842,0.49613,0.9172,0.82326,0.78498,0.81322,0.51745,1.08119,0.51687,0.98262,0.000425,0.000425,0.000425
22,63821.3,0.98985,0.4865,0.91528,0.8582,0.75192,0.83079,0.54189,1.06632,0.50046,0.97561,0.00038375,0.00038375,0.00038375
23,65541.8,0.95233,0.47081,0.91207,0.754,0.79258,0.77322,0.5071,1.05262,0.50502,0.97717,0.0003425,0.0003425,0.0003425
24,67207.6,0.95414,0.46728,0.91104,0.86441,0.79564,0.84455,0.54041,1.048,0.48977,0.96897,0.00030125,0.00030125,0.00030125
25,68795.8,0.94,0.4589,0.9057,0.81961,0.81892,0.83489,0.53754,1.05533,0.49473,0.97132,0.00026,0.00026,0.00026
26,70479.7,0.92403,0.45124,0.90125,0.81151,0.76985,0.8137,0.52851,1.03522,0.4857,0.97369,0.00021875,0.00021875,0.00021875
27,72408.9,0.92147,0.44666,0.90105,0.81029,0.85196,0.85147,0.55736,1.0225,0.46943,0.96795,0.0001775,0.0001775,0.0001775
28,74168.7,0.91201,0.4381,0.89752,0.7946,0.84646,0.84787,0.55478,1.02019,0.46721,0.96758,0.00013625,0.00013625,0.00013625
29,75969.3,0.89925,0.43108,0.89432,0.83806,0.81072,0.85112,0.55899,1.0132,0.45894,0.96503,9.5e-05,9.5e-05,9.5e-05
30,77840.9,0.88992,0.42428,0.89402,0.86815,0.82181,0.86239,0.56538,1.0066,0.45424,0.96469,5.375e-05,5.375e-05,5.375e-05
